word,count,length,different letters,vowels,consonants
promised,1,8,8,3,5
added,23,5,3,2,3
whisper,3,7,7,2,5
sad,3,3,3,1,2
sighing,3,7,5,2,5
call,9,4,3,1,3
fury,3,4,4,1,3
met,3,3,3,1,2
both,14,4,4,1,3
law,2,3,3,1,2
prosecute,1,9,8,4,5
denial,1,6,6,3,3
trial,10,5,5,2,3
cur,1,3,3,1,2
jury,22,4,4,1,3
judge,4,5,5,2,3
wasting,2,7,7,2,5
breath,4,6,6,2,4
cunning,1,7,5,2,5
condemn,1,7,6,2,5
death,1,5,5,2,3
attending,3,9,7,3,6
humbly,2,6,6,1,5
fifth,1,5,4,1,4
bend,2,4,4,1,3
angrily,9,7,7,2,5
knot,2,4,4,1,3
undo,1,4,4,2,2
insult,1,6,6,2,4
mean,10,4,4,2,2
pleaded,3,7,5,3,4
easily,3,6,6,3,3
growled,1,7,7,2,5
reply,5,5,5,1,4
finish,5,6,5,2,4
story,8,5,5,1,4
others,7,6,6,2,4
joined,3,6,6,3,3
shook,9,5,4,2,3
impatiently,5,11,9,4,7
quicker,1,7,7,3,4
pity,3,4,4,1,3
sighed,5,6,6,2,4
crab,3,4,4,1,3
daughter,1,8,8,3,5
lose,1,4,4,2,2
temper,5,6,5,2,4
tongue,4,6,6,3,3
young,5,5,5,2,3
snappishly,1,10,8,2,8
patience,1,8,7,4,4
oyster,1,6,6,2,4
addressing,1,10,8,3,7
nobody,8,6,5,2,4
particular,4,10,8,4,6
venture,3,7,6,3,4
pet,1,3,3,1,2
bird,2,4,4,1,3
sensation,2,9,7,4,5
magpie,1,6,6,3,3
wrapping,1,8,7,2,6
carefully,3,9,8,3,6
remarking,3,9,8,3,6
suit,3,4,4,2,2
throat,2,6,5,2,4
canary,1,6,5,2,4
bed,1,3,3,1,2
various,1,7,7,4,3
pretexts,1,8,6,2,6
moved,5,5,5,2,3
mentioned,3,9,7,4,5
lonely,2,6,5,2,4
spirited,1,8,7,3,5
footsteps,2,9,6,3,6
iv,1,2,2,1,1
sends,1,5,4,1,4
bill,17,4,3,1,3
executed,6,8,6,4,4
ferrets,2,7,5,2,5
where,15,5,4,2,3
guessed,3,7,5,3,4
naturedly,1,9,9,3,6
hunting,3,7,6,2,5
nowhere,2,7,6,3,4
since,4,5,5,2,3
swim,5,4,4,1,3
vanished,4,8,8,3,5
completely,1,10,8,3,7
mary,4,4,4,1,3
ann,4,3,2,1,2
doing,5,5,5,2,3
run,4,3,3,1,2
quick,2,5,5,2,3
direction,5,9,8,4,5
pointed,1,7,7,3,4
mistake,3,7,7,3,4
housemaid,1,9,9,5,4
finds,1,5,5,1,4
neat,1,4,4,2,2
brass,1,5,4,1,4
plate,3,5,5,2,3
engraved,1,8,7,3,5
knocking,3,8,6,2,6
upstairs,1,8,7,3,5
lest,1,4,4,1,3
real,3,4,4,2,2
messages,2,8,5,3,5
fancying,1,8,7,2,6
directly,2,8,8,2,6
ordering,2,8,7,3,5
tidy,1,4,4,1,3
room,13,4,3,2,2
window,8,6,5,2,4
hoped,1,5,5,2,3
pairs,1,5,5,2,3
stood,7,5,4,2,3
nevertheless,1,12,8,4,8
uncorked,1,8,8,3,5
lips,1,4,4,1,3
interesting,5,11,7,4,7
whenever,1,8,6,3,5
does,9,4,4,2,2
expected,1,8,6,3,5
drunk,2,5,5,1,4
pressing,1,8,7,2,6
ceiling,1,7,6,3,4
stoop,2,5,4,2,3
save,1,4,4,2,2
broken,6,6,6,2,4
kneel,1,5,4,2,3
floor,3,5,4,2,3
effect,3,6,4,2,4
elbow,3,5,5,2,3
arm,15,3,3,1,2
curled,2,6,6,2,4
resource,1,8,6,4,4
chimney,6,7,7,2,5
whatever,3,8,7,3,5
become,5,6,5,3,3
magic,1,5,5,2,3
full,6,4,3,1,3
grew,1,4,4,1,3
chance,4,6,5,2,4
unhappy,2,7,6,2,5
pleasanter,1,10,8,4,6
wasn,11,4,4,1,3
ordered,4,7,4,3,4
rabbits,1,7,6,2,5
gone,13,4,4,2,2
fairy,1,5,5,2,3
tales,1,5,5,2,3
fancied,2,7,7,3,4
write,6,5,5,2,3
grown,7,5,5,1,4
least,9,5,5,2,3
comfort,1,7,6,2,5
woman,2,5,5,2,3
shouldn,5,7,7,2,5
foolish,1,7,6,3,4
answered,4,8,7,3,5
books,2,5,4,2,3
taking,5,6,6,2,4
outside,4,7,7,4,3
stopped,3,7,6,2,5
trembled,2,8,7,2,6
forgetting,3,10,8,3,7
reason,9,6,6,3,3
inwards,1,7,7,2,5
attempt,1,7,5,2,5
proved,2,6,6,2,4
failure,1,7,7,4,3
snatch,2,6,6,1,5
shriek,5,6,6,2,4
crash,3,5,5,1,4
concluded,2,9,7,3,6
possible,1,8,7,3,5
cucumber,2,8,6,3,5
frame,1,5,5,2,3
pat,3,3,3,1,2
apples,2,6,5,2,4
yer,4,3,3,1,2
honour,4,6,5,3,3
sounds,4,6,5,2,4
pronounced,1,10,8,4,6
arrum,1,5,4,2,3
goose,2,5,4,3,2
fills,1,5,4,1,4
business,7,8,6,3,5
whispers,1,8,7,2,6
coward,1,6,6,2,4
shrieks,1,7,6,2,5
frames,1,6,6,2,4
pulling,1,7,6,2,5
hearing,4,7,7,3,4
rumbling,1,8,8,2,6
cartwheels,1,10,9,3,7
together,9,8,6,3,5
ladder,1,6,5,2,4
lad,1,3,3,1,2
em,3,2,2,1,1
tie,1,3,3,2,1
rope,1,4,4,2,2
bear,2,4,4,2,2
loose,1,5,4,3,2
slate,4,5,5,2,3
below,3,5,5,2,3
loud,6,4,4,2,2
nay,1,3,3,1,2
master,4,6,6,2,4
place,8,5,5,2,3
fireplace,1,9,8,4,5
kick,3,4,3,1,3
drew,5,4,4,1,3
scratching,1,10,9,2,8
scrambling,1,10,10,2,8
above,3,5,5,3,2
sharp,6,5,5,1,4
brandy,1,6,6,1,5
choke,1,5,5,2,3
fellow,4,6,5,2,4
feeble,2,6,4,3,3
squeaking,2,9,9,4,5
thank,4,5,5,1,4
ye,1,2,2,1,1
flustered,1,9,8,3,6
comes,2,5,5,2,3
jack,1,4,4,1,3
rocket,1,6,6,2,4
dead,4,4,3,2,2
instantly,5,9,7,2,7
sense,3,5,3,2,3
moving,3,6,6,2,4
barrowful,2,9,8,3,6
doubt,4,5,5,2,3
shower,2,6,6,2,4
pebbles,2,7,5,2,5
rattling,2,8,7,2,6
hit,2,3,3,1,2
shouted,9,7,7,3,4
produced,1,8,7,3,5
surprise,5,8,6,3,5
cakes,3,5,5,2,3
lay,4,3,3,1,2
swallowed,1,9,7,3,6
delighted,2,9,7,3,6
crowd,4,5,5,1,4
lizard,6,6,6,2,4
held,4,4,4,1,3
guinea,6,6,6,4,2
pigs,6,4,4,1,3
giving,2,6,4,2,4
rush,2,4,4,1,3
appeared,8,8,5,4,4
safe,2,4,4,2,2
thick,1,5,5,1,4
wood,8,4,3,2,2
wandered,2,8,6,3,5
plan,4,4,4,1,3
excellent,2,9,6,3,6
arranged,1,8,6,3,5
difficulty,4,10,8,3,7
smallest,2,8,6,2,6
peering,1,7,6,3,4
trees,7,5,4,2,3
bark,2,4,4,1,3
enormous,1,8,7,4,4
puppy,7,5,3,1,4
feebly,1,6,5,2,4
stretching,2,10,9,2,8
paw,3,3,3,1,2
touch,1,5,5,2,3
coaxing,2,7,7,3,4
whistle,1,7,7,2,5
terribly,1,8,7,2,6
hungry,3,6,6,1,5
spite,1,5,5,2,3
picked,3,6,6,2,4
stick,4,5,5,1,4
whereupon,1,9,8,4,5
yelp,1,4,4,1,3
rushed,1,6,6,2,4
worry,1,5,4,1,4
dodged,1,6,4,2,4
thistle,2,7,6,2,5
keep,11,4,3,2,2
tumbled,1,7,7,2,5
heels,1,5,4,2,3
cart,1,4,4,1,3
horse,1,5,5,2,3
trampled,1,8,8,2,6
series,1,6,4,3,3
charges,1,7,7,2,5
forwards,1,8,7,2,6
each,8,4,4,2,2
barking,1,7,7,2,5
hoarsely,1,8,8,3,5
mouth,10,5,5,2,3
faint,1,5,5,2,3
leant,1,5,5,2,3
buttercup,1,9,7,3,6
fanned,1,6,5,2,4
teaching,1,8,8,3,5
tricks,1,6,6,1,5
blades,1,6,6,2,4
grass,4,5,4,1,4
circumstances,1,13,10,4,9
mushroom,8,8,6,3,5
height,5,6,5,2,4
stretched,2,9,7,2,7
tiptoe,2,6,5,3,3
edge,3,4,3,2,2
immediately,3,11,8,5,6
caterpillar,28,11,8,4,7
arms,6,4,4,1,3
folded,3,6,5,2,4
quietly,5,7,7,3,4
smoking,2,7,7,2,5
hookah,5,6,4,3,3
addressed,2,9,5,3,6
languid,1,7,7,3,4
encouraging,2,11,9,5,6
present,3,7,6,2,5
sternly,1,7,7,1,6
clearly,1,7,6,2,5
sizes,1,5,4,2,3
confusing,3,9,8,3,6
isn,7,3,3,1,2
haven,8,5,5,2,3
turn,11,4,4,1,3
chrysalis,1,9,8,2,7
butterfly,1,9,8,2,7
may,13,3,3,1,2
contemptuously,2,14,11,5,9
brought,3,7,7,2,5
irritated,1,9,6,4,5
remarks,3,7,6,2,5
state,1,5,4,2,3
promising,1,9,8,3,6
swallowing,1,10,8,3,7
anger,2,5,5,2,3
wait,1,4,4,2,2
puffed,1,6,5,2,4
unfolded,2,8,7,3,5
busy,2,4,4,1,3
bee,1,3,2,2,1
father,6,6,6,2,4
man,5,3,3,1,2
incessantly,1,11,9,3,8
stand,6,5,5,1,4
youth,6,5,5,2,3
son,1,3,3,1,2
feared,1,6,5,3,3
injure,1,6,6,3,3
brain,1,5,5,2,3
perfectly,4,9,8,2,7
none,4,4,3,2,2
most,8,4,4,1,3
uncommonly,1,10,7,3,7
fat,1,3,3,1,2
somersault,2,10,9,4,6
pray,3,4,4,1,3
sage,1,4,4,2,2
grey,1,4,4,1,3
limbs,1,5,5,1,4
supple,1,6,5,2,4
ointment,1,8,6,3,5
shilling,1,8,6,2,6
sell,2,4,3,1,3
couple,1,6,6,3,3
weak,2,4,4,2,2
tougher,1,7,7,3,4
suet,1,4,4,2,2
bones,1,5,5,2,3
beak,1,4,4,2,2
argued,1,6,6,3,3
wife,1,4,4,2,2
muscular,1,8,7,3,5
strength,1,8,7,1,7
jaw,1,3,3,1,2
lasted,2,6,6,2,4
steady,1,6,6,2,4
balanced,1,8,7,3,5
eel,2,3,2,2,1
nose,8,4,4,2,2
awfully,1,7,6,2,5
clever,2,6,5,2,4
questions,4,9,8,4,5
airs,1,4,4,2,2
stuff,4,5,4,1,4
timidly,9,7,6,2,5
altered,1,7,6,3,4
decidedly,4,9,6,3,6
changing,2,8,6,2,6
often,5,5,5,2,3
contradicted,1,12,9,4,8
losing,1,6,6,2,4
content,1,7,5,2,5
wretched,2,8,7,2,6
rearing,1,7,6,3,4
upright,1,7,7,2,5
piteous,1,7,7,4,3
patiently,2,9,8,3,6
chose,2,5,5,2,3
yawned,2,6,6,2,4
crawled,1,7,7,2,5
merely,2,6,5,2,4
taller,2,6,5,2,4
shorter,2,7,6,2,5
thoughtfully,4,12,8,3,9
difficult,2,9,7,3,6
broke,2,5,5,2,3
nibbled,2,7,6,2,5
violent,2,7,7,3,4
blow,2,4,4,1,3
underneath,1,10,8,4,6
closely,1,7,6,2,5
swallow,1,7,5,2,5
morsel,1,6,6,2,4
lefthand,2,8,8,2,6
free,3,4,3,2,2
alarm,2,5,4,2,3
immense,1,7,5,3,4
length,1,6,6,1,5
rise,1,4,4,2,2
stalk,1,5,5,1,4
green,4,5,4,2,3
result,1,6,6,2,4
follow,2,6,4,2,4
shaking,3,7,7,2,5
distant,2,7,6,2,5
serpent,9,7,6,2,5
succeeded,3,9,5,4,5
curving,1,7,7,2,5
graceful,1,8,8,3,5
zigzag,1,6,4,2,4
dive,1,4,4,2,2
tops,1,4,4,1,3
wandering,2,9,8,3,6
hiss,1,4,3,1,3
draw,7,4,4,1,3
pigeon,12,6,6,3,3
flown,1,5,5,1,4
beating,2,7,7,3,4
wings,1,5,5,1,4
screamed,4,8,7,3,5
indignantly,4,11,8,3,8
repeated,10,8,6,4,4
subdued,1,7,5,3,4
sob,1,3,3,1,2
roots,2,5,4,2,3
banks,1,5,5,1,4
hedges,1,6,5,2,4
serpents,3,8,6,2,6
pleasing,1,8,8,3,5
puzzled,9,7,6,2,5
hatching,1,8,7,2,6
eggs,5,4,3,1,3
sleep,6,5,4,2,3
weeks,1,5,4,2,3
sorry,1,5,4,1,4
annoyed,1,7,6,3,4
taken,4,5,5,2,3
highest,1,7,6,2,5
tree,8,4,3,2,2
raising,1,7,6,3,4
needs,1,5,4,2,3
wriggling,1,9,6,2,7
invent,1,6,5,2,4
doubtfully,2,10,8,3,7
changes,2,7,7,2,5
deepest,1,7,5,3,4
contempt,1,8,7,2,6
girls,3,5,5,1,4
denying,1,7,6,2,5
telling,2,7,6,2,5
tasted,3,6,5,2,4
egg,1,3,2,1,2
truthful,1,8,6,2,6
silent,7,6,6,2,4
adding,1,6,5,2,4
matters,2,7,6,2,5
yours,3,5,5,2,3
raw,1,3,3,1,2
settled,3,7,5,2,5
nest,1,4,4,1,3
crouched,1,8,7,3,5
entangled,2,9,7,3,6
branches,2,8,8,2,6
untwist,1,7,6,2,5
pieces,3,6,5,3,3
nibbling,3,8,5,2,6
bringing,3,8,5,2,6
beautiful,13,9,8,5,4
whoever,1,7,6,3,4
lives,4,5,5,2,3
frighten,1,8,8,2,6
wits,1,4,4,1,3
righthand,1,9,8,2,7
vi,1,2,2,1,1
pig,11,3,3,1,2
pepper,8,6,3,2,4
footman,14,7,6,3,4
livery,3,6,6,2,4
considered,3,10,8,4,6
otherwise,4,9,8,4,5
judging,1,7,6,2,5
fish,8,4,4,1,3
rapped,1,6,5,2,4
loudly,3,6,5,2,4
knuckles,1,8,7,2,6
footmen,1,7,6,3,4
powdered,1,8,6,3,5
crept,1,5,5,1,4
producing,1,9,9,3,6
letter,3,6,4,2,4
invitation,2,10,6,5,5
queen,75,5,4,3,2
order,3,5,4,2,3
curls,1,5,5,1,4
laughed,2,7,7,3,4
ground,8,6,6,2,4
staring,3,7,7,2,5
stupidly,1,8,8,2,6
knocked,1,7,6,2,5
reasons,1,7,6,3,4
secondly,2,8,8,2,6
inside,2,6,5,3,3
extraordinary,2,13,10,5,8
within,2,6,5,2,4
constant,2,8,6,2,6
howling,3,7,7,2,5
sneezing,6,8,6,3,5
dish,4,4,4,1,3
kettle,1,6,4,2,4
between,6,7,5,3,4
instance,3,8,7,3,5
knock,1,5,4,1,4
uncivil,1,7,6,3,4
remarked,10,8,6,3,5
tomorrow,1,8,5,3,5
skimming,1,8,6,2,6
grazed,1,6,6,2,4
maybe,2,5,5,2,3
louder,1,6,6,3,3
told,6,4,4,1,3
dreadful,2,8,7,3,5
muttered,2,8,6,3,5
argue,1,5,5,3,2
drive,2,5,5,2,3
crazy,1,5,5,1,4
repeating,3,9,8,4,5
remark,10,6,5,2,4
variations,1,10,8,5,5
days,4,4,4,1,3
whistling,1,9,8,2,7
desperately,1,11,9,4,7
idiotic,1,7,5,4,3
kitchen,4,7,7,2,5
smoke,1,5,5,2,3
stool,1,5,4,2,3
nursing,3,7,6,2,5
baby,14,4,3,1,3
cook,13,4,3,2,2
leaning,2,7,6,3,4
stirring,2,8,6,2,6
cauldron,2,8,8,3,5
soup,18,4,4,2,2
sneezed,1,7,5,3,4
occasionally,1,12,8,5,7
alternately,1,11,7,4,7
pause,2,5,5,3,2
sneeze,2,6,4,3,3
hearth,1,6,5,2,4
grinning,1,8,4,2,6
ear,6,3,3,2,1
manners,1,7,6,2,5
grins,1,5,5,1,4
cheshire,7,8,6,3,5
violence,1,8,7,4,4
courage,3,7,7,4,3
grinned,3,7,6,2,5
pleased,7,7,6,3,4
introduce,2,9,9,4,5
fix,1,3,3,1,2
throwing,2,8,8,2,6
irons,1,5,5,2,3
saucepans,1,9,7,4,5
plates,2,6,6,2,4
dishes,2,6,5,2,4
already,2,7,6,3,4
blows,1,5,5,1,4
jumping,4,7,7,2,5
agony,1,5,5,2,3
terror,1,6,4,2,4
precious,1,8,8,4,4
unusually,1,9,6,4,5
saucepan,1,8,7,4,4
flew,1,4,4,1,3
carried,4,7,6,3,4
minded,1,6,5,2,4
growl,3,5,5,1,4
faster,3,6,6,2,4
advantage,3,9,7,4,5
takes,2,5,5,2,3
hours,4,5,5,2,3
axis,1,4,4,2,2
axes,1,4,4,2,2
chop,1,4,4,1,3
glanced,1,7,7,2,5
meant,5,5,5,2,3
hint,2,4,4,1,3
busily,4,6,6,2,4
bother,1,6,6,2,4
abide,1,5,5,3,2
figures,1,7,7,3,4
singing,2,7,4,2,5
lullaby,1,7,5,2,5
shake,1,5,5,2,3
line,2,4,4,2,2
roughly,1,7,7,2,5
boy,3,3,3,1,2
beat,4,4,4,2,2
sneezes,2,7,4,3,4
annoy,1,5,4,2,3
teases,1,6,4,3,3
wow,6,3,2,1,2
sang,2,4,4,1,3
verse,4,5,4,2,3
song,7,4,4,1,3
tossing,3,7,6,2,5
howled,1,6,6,2,4
thoroughly,2,10,8,3,7
enjoy,1,5,5,2,3
pleases,1,7,5,3,4
flinging,1,8,5,2,6
threw,2,5,5,1,4
frying,1,6,6,1,5
pan,1,3,3,1,2
missed,2,6,5,2,4
caught,3,6,6,2,4
shaped,3,6,6,2,4
creature,4,8,6,4,4
star,1,4,4,1,3
snorting,1,8,7,2,6
steam,1,5,5,2,3
engine,1,6,4,3,3
doubling,1,8,8,3,5
straightening,1,13,9,4,9
proper,3,6,4,2,4
twist,2,5,4,1,4
tight,1,5,4,1,4
prevent,1,7,6,2,5
undoing,1,7,6,3,4
kill,1,4,3,1,3
murder,1,6,5,2,4
grunted,4,7,7,2,5
grunt,1,5,5,1,4
expressing,1,10,8,3,7
snout,1,5,5,2,3
also,2,4,4,2,2
extremely,2,9,7,3,6
sobbing,3,7,6,2,5
seriously,1,9,8,4,5
sobbed,1,6,5,2,4
neither,2,7,6,3,4
less,4,4,3,1,3
carry,1,5,4,1,4
relieved,1,8,6,4,4
trot,1,4,3,1,3
dreadfully,6,10,8,3,7
ugly,2,4,4,1,3
handsome,1,8,8,3,5
startled,2,8,7,2,6
seeing,1,6,5,3,3
bough,1,5,5,2,3
yards,1,5,5,1,4
natured,1,7,7,3,4
teeth,1,5,3,2,3
treated,1,7,5,3,4
respect,1,7,6,2,5
puss,1,4,3,1,3
wider,1,5,5,2,3
depends,1,7,5,2,5
explanation,2,11,9,5,6
denied,2,6,4,3,3
waving,5,6,6,2,4
hatter,56,6,5,2,4
march,34,5,5,1,4
hare,31,4,4,2,2
visit,1,5,4,2,3
mad,15,3,3,1,2
grant,1,5,5,1,4
growls,1,6,6,1,5
wags,1,4,4,1,3
wag,1,3,3,1,2
therefore,1,9,6,4,5
growling,1,8,7,2,6
invited,2,7,6,3,4
happening,1,9,7,3,6
became,2,6,5,3,3
appear,2,6,4,3,3
hatters,1,7,6,2,5
raving,2,6,6,2,4
branch,1,6,6,1,5
fig,1,3,3,1,2
appearing,1,9,7,4,5
vanishing,1,9,7,3,6
giddy,2,5,4,1,4
ending,2,6,5,2,4
farther,1,7,6,2,5
chimneys,1,8,8,2,6
thatched,1,8,6,2,6
raised,2,6,6,3,3
towards,1,7,7,2,5
instead,3,7,7,3,4
vii,1,3,2,2,1
front,2,5,5,1,4
dormouse,40,8,7,4,4
fast,4,4,4,1,3
asleep,8,6,5,3,3
using,2,5,5,2,3
cushion,2,7,7,3,4
resting,2,7,7,2,5
elbows,1,6,6,2,4
chair,1,5,5,2,3
wine,2,4,4,2,2
civil,3,5,4,2,3
laid,2,4,4,2,2
wants,2,5,5,1,4
cutting,1,7,6,2,5
personal,2,8,8,3,5
severity,1,8,7,3,5
rude,2,4,4,2,2
wide,2,4,4,2,2
raven,1,5,5,2,3
writing,6,7,6,2,5
desk,1,4,4,1,3
fun,3,3,3,1,2
riddles,2,7,6,2,5
breathe,3,7,6,3,4
ravens,1,6,6,2,4
desks,1,5,4,1,4
break,2,5,5,2,3
month,2,5,5,1,4
uneasily,2,8,8,4,4
fourth,1,6,6,2,4
butter,9,6,5,2,4
works,1,5,5,1,4
meekly,2,6,5,2,4
crumbs,4,6,6,1,5
grumbled,1,8,8,2,6
bread,7,5,5,2,3
gloomily,1,8,6,3,5
cup,2,3,3,1,2
shoulder,4,8,8,3,5
tells,2,5,4,1,4
clock,5,5,4,1,4
year,2,4,4,2,2
readily,1,7,7,3,4
stays,1,5,4,1,4
poured,1,6,6,3,3
riddle,1,6,5,2,4
slightest,1,9,7,2,7
wearily,1,7,7,3,4
waste,1,5,5,2,3
answers,1,7,6,2,5
cautiously,3,10,9,5,5
music,3,5,5,2,3
accounts,1,8,7,3,5
terms,1,5,5,1,4
twinkling,4,9,7,2,7
mournfully,1,10,8,3,7
quarrelled,1,10,7,4,6
spoon,2,5,4,2,3
concert,2,7,6,2,5
given,1,5,5,2,3
hearts,8,6,6,2,4
sing,6,4,4,1,3
twinkle,8,7,7,2,5
tray,1,4,4,1,3
pinch,2,5,5,1,4
bawled,1,6,6,2,4
murdering,1,9,8,3,6
exclaimed,6,9,8,4,5
mournful,1,8,7,3,5
sigh,4,4,4,1,3
wash,2,4,4,1,3
whiles,1,6,6,2,4
interrupted,9,11,8,4,7
yawning,2,7,6,2,5
vote,1,4,4,2,2
lady,3,4,4,1,3
alarmed,1,7,6,3,4
proposal,1,8,6,3,5
wake,2,4,4,2,2
pinched,2,7,7,2,5
fellows,1,7,6,2,5
sisters,2,7,5,2,5
names,2,5,5,2,3
elsie,1,5,4,3,2
lacie,1,5,5,3,2
tillie,1,6,4,3,3
lived,3,5,5,2,3
bottom,4,6,4,2,4
interest,1,8,6,3,5
eating,1,6,6,3,3
drinking,1,8,6,2,6
treacle,7,7,6,3,4
ill,2,3,2,1,2
ways,1,4,4,1,3
living,2,6,5,2,4
opinion,1,7,4,4,3
triumphantly,2,12,11,3,9
helped,1,6,5,2,4
sulkily,2,7,6,2,5
interrupt,1,9,7,3,6
consented,1,9,7,3,6
learning,2,8,7,3,5
promise,1,7,7,3,4
clean,1,5,5,2,3
unwillingly,1,11,7,3,8
upset,3,5,5,2,3
jug,1,3,3,1,2
offend,1,6,5,2,4
eh,1,2,2,1,1
choosing,1,8,7,3,5
interrupting,2,12,8,4,8
rubbing,2,7,6,2,5
manner,2,6,5,2,4
begins,4,6,6,2,4
closed,2,6,6,2,4
doze,1,4,4,2,2
woke,1,4,4,2,2
traps,1,5,5,1,4
moon,1,4,3,2,2
memory,1,6,5,2,4
muchness,3,8,7,2,6
drawing,1,7,7,2,5
rudeness,1,8,6,3,5
disgust,1,7,6,2,5
teapot,1,6,5,3,3
stupidest,1,9,7,3,6
leading,1,7,7,3,4
today,1,5,5,2,3
unlocking,1,9,8,3,6
flower,2,6,6,2,4
viii,1,4,2,3,1
rose,4,4,4,2,2
entrance,1,8,6,3,5
roses,3,5,4,2,3
gardeners,8,9,7,3,6
painting,2,8,6,3,5
paint,1,5,5,2,3
jogged,1,6,5,2,4
blame,1,5,5,2,3
deserved,1,8,5,3,5
beheaded,3,8,5,4,4
spoken,1,6,6,2,4
tulip,1,5,5,2,3
onions,1,6,4,3,3
flung,1,5,5,1,4
brush,1,5,5,1,4
unjust,1,6,5,2,4
chanced,1,7,6,2,5
watching,3,8,8,2,6
checked,3,7,5,2,5
afore,1,5,5,3,2
themselves,3,10,7,3,7
flat,2,4,4,1,3
faces,5,5,5,2,3
eager,3,5,4,3,2
soldiers,10,8,7,3,5
carrying,2,8,7,2,6
clubs,1,5,5,1,4
oblong,1,6,5,2,4
corners,1,7,6,2,5
courtiers,2,9,8,4,5
ornamented,2,10,8,4,6
diamonds,1,8,7,3,5
royal,2,5,5,2,3
merrily,1,7,6,2,5
couples,1,7,7,3,4
guests,3,6,5,2,4
mostly,2,6,6,1,5
kings,1,5,5,1,4
queens,1,6,5,3,3
recognised,1,10,9,4,6
noticing,1,8,6,3,5
knave,9,5,5,2,3
king,63,4,4,1,3
crimson,2,7,7,2,5
velvet,1,6,4,2,4
procession,5,10,8,4,6
doubtful,2,8,7,3,5
lie,2,3,3,2,1
rule,5,4,4,2,2
processions,1,11,8,4,7
opposite,1,8,6,4,4
smiled,2,6,6,2,4
idiot,1,5,4,3,2
majesty,12,7,7,2,5
pack,5,4,4,1,3
cards,3,5,5,1,4
needn,3,5,3,2,3
rosetree,1,8,5,4,4
pattern,1,7,6,2,5
backs,1,5,5,1,4
glaring,1,7,6,2,5
beast,1,5,5,2,3
consider,4,8,8,3,5
bowing,1,6,6,2,4
humble,1,6,6,2,4
knee,5,4,3,2,2
meanwhile,1,9,8,4,5
examining,1,9,7,4,5
remaining,1,9,7,4,5
execute,1,7,5,4,3
unfortunate,3,11,8,5,6
protection,1,10,8,4,6
pot,1,3,3,1,2
marched,1,7,7,2,5
evidently,1,9,8,3,6
roared,1,6,5,3,3
fine,2,4,4,2,2
peeping,1,7,5,3,4
hush,3,4,3,1,3
whispered,5,9,8,3,6
execution,3,9,8,5,4
boxed,1,5,5,2,3
scream,2,6,6,2,4
laughter,1,8,8,3,5
places,2,6,6,2,4
thunder,1,7,7,2,5
ridges,1,6,6,2,4
furrows,1,7,6,2,5
balls,1,5,4,1,4
hedgehogs,3,9,6,3,6
mallets,1,7,6,2,5
flamingoes,2,10,10,4,6
double,1,6,6,3,3
arches,4,6,6,2,4
chief,1,5,5,2,3
managing,1,8,5,3,5
flamingo,5,8,8,3,5
body,2,4,4,1,3
tucked,3,6,6,2,4
comfortably,1,11,10,3,8
straightened,1,12,10,4,8
hedgehog,7,8,5,3,5
expression,1,10,8,4,6
bursting,1,8,8,2,6
laughing,2,8,7,3,5
provoking,1,9,8,3,6
unrolled,2,8,7,3,5
act,1,3,3,1,2
crawling,1,8,8,2,6
ridge,1,5,5,2,3
furrow,1,6,5,2,4
send,1,4,4,1,3
doubled,1,7,6,3,4
parts,1,5,5,1,4
players,4,7,7,2,5
played,1,6,6,2,4
turns,3,5,5,1,4
quarrelling,2,11,9,4,7
fighting,1,8,6,2,6
furious,1,7,6,4,3
stamping,2,8,8,2,6
shouting,2,8,8,3,5
uneasy,1,6,6,3,3
dispute,2,7,7,3,4
beheading,1,9,8,4,5
alive,3,5,5,3,2
appearance,1,10,6,5,5
nodded,1,6,4,2,4
account,1,7,6,3,4
someone,1,7,5,4,3
fairly,1,6,6,2,4
complaining,1,11,9,4,7
quarrel,1,7,6,3,4
oneself,1,7,6,3,4
attends,1,7,6,2,5
arch,1,4,4,1,3
croqueted,1,9,8,4,5
win,1,3,3,1,2
finishing,1,9,6,3,6
friend,3,6,6,2,4
kiss,1,4,3,1,3
likes,1,5,5,2,3
impertinent,1,11,7,4,7
removed,2,7,6,3,4
passing,1,7,6,2,5
settling,1,8,7,2,6
difficulties,1,12,9,5,7
executioner,6,11,9,6,5
screaming,1,9,9,3,6
search,1,6,6,2,4
engaged,1,7,5,3,4
fight,2,5,5,1,4
croqueting,1,10,10,4,6
helpless,1,8,5,2,6
collected,2,9,6,3,6
appealed,1,8,5,4,4
settle,1,6,4,2,4
arguments,1,9,9,3,6
unless,2,6,5,2,4
weren,1,5,4,2,3
anxious,3,7,7,4,3
prison,1,6,6,2,4
arrow,1,5,4,2,3
fading,1,6,6,2,4
entirely,2,8,7,3,5
disappeared,2,11,7,5,6
wildly,2,6,5,1,5
ix,1,2,2,1,1
mock,56,4,4,1,3
turtle,59,6,5,2,4
affectionately,1,14,10,6,8
pleasant,1,8,7,3,5
hopeful,1,7,7,3,4
tempered,2,8,6,3,5
vinegar,1,7,7,3,4
sour,1,4,4,2,2
camomile,1,8,7,4,4
bitter,1,6,5,2,4
barley,1,6,6,2,4
sugar,2,5,5,2,3
sweet,1,5,4,2,3
stingy,1,6,6,1,5
forget,2,6,6,2,4
moral,8,5,5,2,3
